,Binding Energy,Fit,Measured,Peak 1,Peak 2,Peak 3,Peak 4
0,287.05,3168.59,1305.78,305.519,2187.92,399.101,276.049
1,287.0,3300.82,1966.46,321.646,2283.59,412.606,282.974
2,286.95,3441.63,2170.98,339.058,2385.61,426.801,290.16
3,286.9,3591.8,2207.03,357.892,2494.56,441.734,297.621
4,286.85,3752.18,2572.91,378.304,2611.05,457.456,305.37
5,286.8,3923.72,2837.1,400.473,2735.8,474.021,313.423
6,286.75,4107.5,3754.33,424.604,2869.61,491.492,321.795
7,286.7,4304.72,4101.79,450.932,3013.35,509.935,330.503
8,286.65,4516.75,5196.85,479.738,3168.02,529.422,339.566
9,286.6,4745.13,5890.24,511.357,3334.74,550.032,349.002
10,286.55,4991.66,6469.84,546.198,3514.78,571.851,358.832
11,286.5,5258.4,6483.91,584.783,3709.56,594.976,369.078
12,286.45,5547.8,7025.28,627.797,3920.73,619.51,379.764
13,286.4,5862.77,7031.44,676.17,4150.12,645.569,390.915
14,286.35,6206.9,6925.39,731.201,4399.86,673.278,402.557
15,286.3,6584.62,7112.01,794.738,4672.38,702.778,414.719
16,286.25,7001.57,7864.59,869.43,4970.48,734.225,427.434
17,286.2,7464.96,7706.77,959.055,5297.38,767.788,440.733
18,286.15,7984.1,8599.83,1068.93,5656.85,803.659,454.653
19,286.1,8570.95,8371.51,1206.39,6053.28,842.049,469.233
20,286.05,9240.82,8833.63,1381.21,6491.9,883.197,484.513
21,286.0,10013.0,9359.63,1606.06,6978.98,927.367,500.54
22,285.95,10911.1,10430.2,1896.6,7522.3,974.859,517.36
23,285.9,11964.1,10907.4,2271.29,8131.75,1026.02,535.028
24,285.85,13205.9,12319.8,2750.62,8820.5,1081.23,553.599
25,285.8,14676.5,13249.0,3355.62,9606.8,1140.95,573.134
26,285.75,16421.9,14449.5,4105.63,10516.9,1205.73,593.702
27,285.7,18496.2,17011.3,5015.3,11589.3,1276.21,615.373
28,285.65,20964.0,20829.9,6091.1,12881.4,1353.23,638.228
29,285.6,23905.5,23327.6,7327.58,14477.7,1437.83,662.353
30,285.55,27423.1,26955.1,8703.89,16499.9,1531.41,687.842
31,285.5,31649.8,31901.8,10181.1,19118.1,1635.83,714.8
32,285.45,36756.9,36868.5,11700.5,22559.4,1753.67,743.344
33,285.4,42958.0,43255.7,13184.5,27111.5,1888.46,773.602
34,285.35,50505.5,51545.1,14539.5,33115.3,2045.09,805.722
35,285.3,59675.8,61977.2,15663.4,40942.3,2230.26,839.871
36,285.25,70739.9,71810.3,16458.4,50952.2,2453.05,876.243
37,285.2,83918.0,85471.1,16846.6,63430.8,2725.54,915.068
38,285.15,99318.3,100095.0,16787.7,78510.5,3063.46,956.624
39,285.1,116859.0,115744.0,16287.8,96083.4,3486.77,1001.25
40,285.05,136186.0,135527.0,15398.6,115718.0,4020.1,1049.37
41,285.0,156590.0,155122.0,14204.5,136591.0,4692.77,1101.52
42,284.95,176966.0,174549.0,12806.3,157463.0,5538.39,1158.39
43,284.9,195821.0,194150.0,11304.6,176702.0,6593.78,1220.88
44,284.85,211406.0,210594.0,9789.43,192430.0,7896.96,1290.16
45,284.8,221989.0,221397.0,8333.71,202803.0,9484.39,1367.75
46,284.75,226268.0,225736.0,6990.84,206434.0,11387.2,1455.63
47,284.7,223781.0,225080.0,5794.9,202803.0,13626.8,1556.36
48,284.65,215075.0,216664.0,4762.4,192430.0,16209.8,1673.24
49,284.6,201531.0,203503.0,3895.34,176702.0,19123.4,1810.44
50,284.55,184951.0,186576.0,3184.77,157463.0,22330.6,1973.21
51,284.5,167141.0,168820.0,2614.48,136591.0,25767.1,2168.04
52,284.45,149624.0,150028.0,2164.45,115718.0,29339.0,2402.86
53,284.4,133508.0,133686.0,1813.59,96083.4,32923.7,2687.16
54,284.35,119457.0,118828.0,1541.84,78510.5,36372.2,3032.09
55,284.3,107729.0,107147.0,1331.41,63430.8,39516.2,3450.53
56,284.25,98255.9,98219.2,1167.42,50952.2,42179.3,3956.96
57,284.2,90740.9,90645.0,1037.99,40942.3,44193.3,4567.31
58,284.15,84766.1,84954.4,934.002,33115.3,45418.3,5298.54
59,284.1,79891.7,80128.6,848.71,27111.5,45763.4,6168.13
60,284.05,75732.1,77146.3,777.235,22559.4,45202.1,7193.33
61,284.0,72001.8,73017.5,716.132,19118.1,43777.3,8390.2
62,283.95,68528.8,68974.4,662.987,16499.9,41593.3,9772.53
63,283.9,65243.2,65777.2,616.118,14477.7,38798.8,11350.6
64,283.85,62151.2,62539.8,574.335,12881.4,35565.7,13129.7
65,283.8,59304.9,59098.2,536.784,11589.3,32069.8,15109.0
66,283.75,56775.3,55901.7,502.827,10516.9,28475.5,17280.1
67,283.7,54630.7,53155.3,471.978,9606.8,24925.9,19626.0
68,283.65,52921.6,52419.7,443.847,8820.5,21537.1,22120.2
69,283.6,51671.7,50743.8,418.116,8131.75,18395.5,24726.3
70,283.55,50873.5,50081.2,394.518,7522.3,15558.9,27397.8
71,283.5,50488.4,50616.3,372.825,6978.98,13057.9,30078.7
72,283.45,50449.7,49885.7,352.84,6491.9,10900.4,32704.5
73,283.4,50667.5,50166.2,334.39,6053.28,9075.69,35204.1
74,283.35,51035.9,49686.6,317.326,5656.85,7559.59,37502.2
75,283.3,51440.8,50612.6,301.513,5297.38,6319.32,39522.6
76,283.25,51767.9,51326.8,286.835,4970.48,5317.74,41192.9
77,283.2,51910.9,50587.4,273.188,4672.38,4516.88,42448.4
78,283.15,51779.0,51273.0,260.477,4399.86,3880.58,43238.1
79,283.1,51303.4,51265.2,248.622,4150.12,3376.15,43528.5
80,283.05,50440.5,50419.8,237.547,3920.73,2975.4,43306.9
81,283.0,49174.5,49055.9,227.186,3709.56,2654.83,42583.0
82,282.95,47515.4,48310.9,217.481,3514.78,2395.56,41387.5
83,282.9,45495.6,47039.2,208.378,3334.74,2182.77,39769.7
84,282.85,43165.3,45781.4,199.828,3168.02,2005.18,37792.3
85,282.8,40586.7,44098.5,191.789,3013.35,1854.33,35527.2
86,282.75,37828.2,41389.9,184.22,2869.61,1723.99,33050.4
87,282.7,34959.8,38482.9,177.086,2735.8,1609.66,30437.3
88,282.65,32049.3,36340.9,170.355,2611.05,1508.04,27759.9
89,282.6,29159.0,32043.8,163.997,2494.56,1416.77,25083.7
90,282.55,26343.5,28585.8,157.985,2385.61,1334.1,22465.8
91,282.5,23648.8,24434.6,152.295,2283.59,1258.73,19954.2
92,282.45,21111.0,21137.2,146.905,2187.92,1189.69,17586.5
93,282.4,18756.7,17183.0,141.793,2098.09,1126.18,15390.7
94,282.35,16603.0,13981.1,136.942,2013.64,1067.58,13384.8
95,282.3,14658.4,11773.9,132.334,1934.15,1013.38,11578.6
96,282.25,12923.9,9049.2,127.953,1859.24,963.141,9973.61
97,282.2,11394.2,7282.98,123.784,1788.57,916.475,8565.41
98,282.15,10059.0,4834.95,119.815,1721.83,873.056,7344.29
99,282.1,8904.21,3689.44,116.032,1658.73,832.593,6296.85
100,282.05,7913.54,3002.24,112.425,1599.01,794.828,5407.28
101,282.0,7069.38,1466.05,108.982,1542.44,759.53,4658.43
